"","entity_id","name","min"
"602","201158","Marco Belinelli",1548.33333333333
"603","201160","Jason Smith",238
"604","201162","Jared Dudley",587.75
"605","201163","Wilson Chandler",1418.66666666667
"606","201166","Aaron Brooks",189
"607","201167","Arron Afflalo",682
"608","201188","Marc Gasol",1749.5
"609","201196","Ramon Sessions",392
"610","201229","Anthony Tolliver",948.75
"611","201281","Andre Ingram",64
"612","201563","Michael Beasley",965
"613","201565","Derrick Rose",1002.4
"614","201566","Russell Westbrook",2521.2
"615","201567","Kevin Love",1251
"616","201568","Danilo Gallinari",1471.8
"617","201569","Eric Gordon",1557.4
"618","201571","D.J. Augustin",1476.4
"619","201572","Brook Lopez",1600
"620","201573","Jerryd Bayless",791
"621","201577","Robin Lopez",1234
"622","201578","Marreese Speights",675
"623","201580","JaVale McGee",1039.2
"624","201583","Ryan Anderson",1023
"625","201584","Courtney Lee",1027.66666666667
"626","201585","Kosta Koufos",946.5
"627","201586","Serge Ibaka",1481.8
"628","201587","Nicolas Batum",1618
"629","201588","George Hill",1252.6
"630","201589","Darrell Arthur",141
"631","201596","Mario Chalmers",1421
"632","201599","DeAndre Jordan",1508.2
"633","201600","Omer Asik",182
"634","201601","Luc Mbah a Moute",812.5
"635","201609","Goran Dragic",1373.2
"636","201628","Bobby Brown",115
"637","201933","Blake Griffin",1449.8
"638","201935","James Harden",2362.2
"639","201936","Tyreke Evans",1504.5
"640","201937","Ricky Rubio",1782.2
"641","201939","Stephen Curry",1692.8
"642","201942","DeMar DeRozan",2483
"643","201943","Brandon Jennings",205
"644","201949","James Johnson",1193.2
"645","201950","Jrue Holiday",2292
"646","201952","Jeff Teague",1497.25
"647","201954","Darren Collison",2080.5
"648","201956","Omri Casspi",631
"649","201959","Taj Gibson",1452.4
"650","201960","DeMarre Carroll",1391
"651","201961","Wayne Ellington",1130
"652","201967","Dante Cunningham",1245
"653","201973","Jonas Jerebko",1176
"654","201975","Jodie Meeks",611.5
"655","201976","Patrick Beverley",1215.6
"656","201980","Danny Green",1775
"657","201988","Patty Mills",1885.4
"658","202066","Garrett Temple",1594.6
"659","202083","Wesley Matthews",1583.6
"660","202322","John Wall",1267.33333333333
"661","202323","Evan Turner",1297
"662","202324","Derrick Favors",1370.8
"663","202325","Wesley Johnson",1010
"664","202326","DeMarcus Cousins",975.75
"665","202327","Ekpe Udoh",565
"666","202328","Greg Monroe",564.333333333333
"667","202329","Al-Farouq Aminu",1294.5
"668","202330","Gordon Hayward",1665.75
"669","202331","Paul George",1997.6
"670","202332","Cole Aldrich",49
"671","202334","Ed Davis",743.8
"672","202335","Patrick Patterson",872.25
"673","202337","Luke Babbitt",715
"674","202339","Eric Bledsoe",1942.4
"675","202340","Avery Bradley",1302.8
"676","202344","Trevor Booker",1158
"677","202347","Quincy Pondexter",244
"678","202348","Jordan Crawford",53
"679","202355","Hassan Whiteside",1337.8
"680","202357","Nemanja Bjelica",1370.6
"681","202362","Lance Stephenson",1246.66666666667
"682","202389","Timofey Mozgov",359
"683","202391","Jeremy Lin",1436
"684","202397","Ish Smith",1409
"685","202498","Lance Thomas",744.666666666667
"686","202681","Kyrie Irving",1523.6
"688","202683","Enes Kanter",1552.75
"689","202684","Tristan Thompson",1221.8
"690","202685","Jonas Valanciunas",1726.2
"691","202687","Bismack Biyombo",1020.2
"692","202688","Brandon Knight",599.5
"693","202689","Kemba Walker",1931.6
"694","202690","Jimmer Fredette",65
"695","202691","Klay Thompson",2010.66666666667
"696","202692","Alec Burks",1530
"697","202693","Markieff Morris",1185
"698","202694","Marcus Morris",1766.5
"700","202695","Kawhi Leonard",1467.75
"701","202696","Nikola Vucevic",2176.6
"702","202697","Iman Shumpert",666
"703","202699","Tobias Harris",2482.4
"704","202702","Kenneth Faried",594.5
"705","202703","Nikola Mirotic",1369.5
"706","202704","Reggie Jackson",1612.2
"707","202705","MarShon Brooks",290
"708","202709","Cory Joseph",1815.6
"709","202710","Jimmy Butler",1982.2
"710","202711","Bojan Bogdanovic",2273.8
"711","202713","Kyle Singler",59
"712","202714","Shelvin Mack",1306
"713","202718","Chandler Parsons",413.666666666667
"714","202720","Jon Leuer",269
"715","202722","Davis Bertans",1305
"716","202732","DeAndre Liggins",723
"717","202734","E'Twaun Moore",1364.5
"718","202738","Isaiah Thomas",565
"719","202779","Dwight Buycks",427
"720","202933","Julyan Stone",175
"721","202951","Jeremy Pargo",44
"722","202954","Brad Wanamaker",771.25
"723","203076","Anthony Davis",1847.8
"724","203077","Michael Kidd-Gilchrist",1103.33333333333
"725","203078","Bradley Beal",2328.8
"726","203079","Dion Waiters",754.333333333333
"727","203081","Damian Lillard",2287.2
"728","203082","Terrence Ross",1486.8
"729","203083","Andre Drummond",1949.6
"730","203084","Harrison Barnes",2453.8
"731","203085","Austin Rivers",1584.8
